"No.","Time","Source","Destination","Protocol","Length","Info"
"267","11.371654","host","2.4.2","USB","27","URB_INTERRUPT in"
"268","11.379639","2.4.2","host","USB","36","URB_INTERRUPT in"
"269","11.379660","host","2.4.2","USB","27","URB_INTERRUPT in"
"270","11.386827","2.4.2","host","USB","36","URB_INTERRUPT in"
"271","11.386846","host","2.4.2","USB","27","URB_INTERRUPT in"
"272","11.394641","2.4.2","host","USB","36","URB_INTERRUPT in"
"273","11.394661","host","2.4.2","USB","27","URB_INTERRUPT in"
"274","11.401640","2.4.2","host","USB","36","URB_INTERRUPT in"
"275","11.401660","host","2.4.2","USB","27","URB_INTERRUPT in"
"276","11.409640","2.4.2","host","USB","36","URB_INTERRUPT in"
"277","11.409657","host","2.4.2","USB","27","URB_INTERRUPT in"
"278","11.416637","2.4.2","host","USB","36","URB_INTERRUPT in"
"279","11.416655","host","2.4.2","USB","27","URB_INTERRUPT in"
"280","11.424641","2.4.2","host","USB","36","URB_INTERRUPT in"
"281","11.424655","host","2.4.2","USB","27","URB_INTERRUPT in"
"282","11.431651","2.4.2","host","USB","36","URB_INTERRUPT in"
"283","11.431699","host","2.4.2","USB","27","URB_INTERRUPT in"
"284","11.439644","2.4.2","host","USB","36","URB_INTERRUPT in"
"285","11.439671","host","2.4.2","USB","27","URB_INTERRUPT in"
"286","11.446648","2.4.2","host","USB","36","URB_INTERRUPT in"
"287","11.446683","host","2.4.2","USB","27","URB_INTERRUPT in"
"288","11.454639","2.4.2","host","USB","36","URB_INTERRUPT in"
"289","11.454658","host","2.4.2","USB","27","URB_INTERRUPT in"
"290","11.814645","2.4.2","host","USB","36","URB_INTERRUPT in"
"291","11.814677","host","2.4.2","USB","27","URB_INTERRUPT in"
"292","11.821632","2.4.2","host","USB","36","URB_INTERRUPT in"
"293","11.821651","host","2.4.2","USB","27","URB_INTERRUPT in"
"294","11.829634","2.4.2","host","USB","36","URB_INTERRUPT in"
"295","11.829652","host","2.4.2","USB","27","URB_INTERRUPT in"
"296","11.836634","2.4.2","host","USB","36","URB_INTERRUPT in"
"297","11.836651","host","2.4.2","USB","27","URB_INTERRUPT in"
"298","11.844632","2.4.2","host","USB","36","URB_INTERRUPT in"
"299","11.844649","host","2.4.2","USB","27","URB_INTERRUPT in"
"300","11.851635","2.4.2","host","USB","36","URB_INTERRUPT in"
"301","11.851651","host","2.4.2","USB","27","URB_INTERRUPT in"
"302","11.859641","2.4.2","host","USB","36","URB_INTERRUPT in"
"303","11.859658","host","2.4.2","USB","27","URB_INTERRUPT in"
"304","11.866635","2.4.2","host","USB","36","URB_INTERRUPT in"
"305","11.866650","host","2.4.2","USB","27","URB_INTERRUPT in"
"306","11.874632","2.4.2","host","USB","36","URB_INTERRUPT in"
"307","11.874650","host","2.4.2","USB","27","URB_INTERRUPT in"
"308","11.893349","2.2.1","host","USBMS","63","[SCSI transfer limited due to allocation_length too small]"
"309","11.893361","host","2.2.1","USB","27","URB_BULK in"
"310","11.893391","2.2.1","host","USBMS","40",""
"311","11.893414","host","2.2.2","USBMS","58","SCSI Command: 0x23 LUN:0x00 "
"312","11.893438","2.2.2","host","USB","27","URB_BULK out"
"313","11.893439","host","2.2.1","USB","27","URB_BULK in"
"314","12.163035","2.2.1","host","USBMS","47",""
"315","12.163053","host","2.2.1","USB","27","URB_BULK in"
"316","12.163150","2.2.1","host","USB","27","URB_BULK in"
"317","12.163162","host","2.2.1","USB","27","URB_FUNCTION_SYNC_RESET_PIPE_AND_CLEAR_STALL"
"318","12.163466","2.2.1","host","USB","27","URB_FUNCTION_SYNC_RESET_PIPE_AND_CLEAR_STALL"
"319","12.163477","host","2.2.1","USB","27","URB_BULK in"
"320","12.163498","2.2.1","host","USBMS","40",""
"321","12.163515","host","2.2.2","USBMS","58","SCSI Inquiry LUN: 0x00  Unit Serial Number Page "
"322","12.163539","2.2.2","host","USB","27","URB_BULK out"
"323","12.163541","host","2.2.1","USB","27","URB_BULK in"
"324","12.171589","2.2.1","host","USBMS","63",""
"325","12.171599","host","2.2.1","USB","27","URB_BULK in"
"326","12.171650","2.2.1","host","USB","27","URB_BULK in"
"327","12.171659","host","2.2.1","USB","27","URB_FUNCTION_SYNC_RESET_PIPE_AND_CLEAR_STALL"
"328","12.171832","2.2.1","host","USB","27","URB_FUNCTION_SYNC_RESET_PIPE_AND_CLEAR_STALL"
"329","12.171835","host","2.2.1","USB","27","URB_BULK in"
"330","12.171864","2.2.1","host","USBMS","40",""
"331","12.175281","host","2.2.2","USBMS","58","SCSI Read Capacity(10) LUN: 0x00 "
"332","12.175315","2.2.2","host","USB","27","URB_BULK out"
"333","12.175316","host","2.2.1","USB","27","URB_BULK in"
"334","12.175553","2.2.1","host","USBMS","35",""
"335","12.175567","host","2.2.1","USB","27","URB_BULK in"
"336","12.175595","2.2.1","host","USBMS","40",""
"337","12.175681","host","2.2.2","USBMS","58","SCSI Mode Sense(10) LUN: 0x00 "
"338","12.175705","2.2.2","host","USB","27","URB_BULK out"
"339","12.175706","host","2.2.1","USB","27","URB_BULK in"
"340","12.175876","2.2.1","host","USBMS","43",""
"341","12.175878","host","2.2.1","USB","27","URB_BULK in"
"342","12.175938","2.2.1","host","USB","27","URB_BULK in"
"343","12.175947","host","2.2.1","USB","27","URB_FUNCTION_SYNC_RESET_PIPE_AND_CLEAR_STALL"
"344","12.176203","2.2.1","host","USB","27","URB_FUNCTION_SYNC_RESET_PIPE_AND_CLEAR_STALL"
"345","12.176206","host","2.2.1","USB","27","URB_BULK in"
"346","12.176228","2.2.1","host","USBMS","40",""
"347","12.176298","host","2.2.2","USBMS","58","SCSI Mode Sense(10) LUN: 0x00 "
"348","12.176319","2.2.2","host","USB","27","URB_BULK out"
"349","12.176320","host","2.2.1","USB","27","URB_BULK in"
"350","12.176528","2.2.1","host","USBMS","47",""
"351","12.176530","host","2.2.1","USB","27","URB_BULK in"
"352","12.176553","2.2.1","host","USB","27","URB_BULK in"
"353","12.176561","host","2.2.1","USB","27","URB_FUNCTION_SYNC_RESET_PIPE_AND_CLEAR_STALL"
"354","12.176832","2.2.1","host","USB","27","URB_FUNCTION_SYNC_RESET_PIPE_AND_CLEAR_STALL"
"355","12.176834","host","2.2.1","USB","27","URB_BULK in"
"356","12.176853","2.2.1","host","USBMS","40",""
"357","12.176878","host","2.2.2","USBMS","58","SCSI Mode Sense(10) LUN: 0x00 "
"358","12.176897","2.2.2","host","USB","27","URB_BULK out"
"359","12.176898","host","2.2.1","USB","27","URB_BULK in"
"360","12.177173","2.2.1","host","USBMS","47",""
"361","12.177175","host","2.2.1","USB","27","URB_BULK in"
"362","12.177223","2.2.1","host","USB","27","URB_BULK in"
"363","12.177232","host","2.2.1","USB","27","URB_FUNCTION_SYNC_RESET_PIPE_AND_CLEAR_STALL"
"364","12.177582","2.2.1","host","USB","27","URB_FUNCTION_SYNC_RESET_PIPE_AND_CLEAR_STALL"
"365","12.177584","host","2.2.1","USB","27","URB_BULK in"
"366","12.177604","2.2.1","host","USBMS","40",""
"367","12.177622","host","2.2.2","USBMS","58","SCSI Mode Select(10) LUN: 0x00 "
"368","12.177643","2.2.2","host","USB","27","URB_BULK out"
"369","12.177645","host","2.2.2","USBMS","51",""
"370","12.177695","2.2.2","host","USB","27","URB_BULK out"
"371","12.177696","host","2.2.1","USB","27","URB_BULK in"
"372","12.178043","2.2.1","host","USBMS","40",""
"373","12.178045","host","2.2.2","USBMS","58","SCSI Request Sense LUN: 0x00 "
"374","12.178091","2.2.2","host","USB","27","URB_BULK out"
"375","12.178092","host","2.2.1","USB","27","URB_BULK in"
"376","12.178285","2.2.1","host","USBMS","45",""
"377","12.178286","host","2.2.1","USB","27","URB_BULK in"
"378","12.178336","2.2.1","host","USBMS","40",""
"379","12.178354","host","2.2.2","USBMS","58","SCSI Mode Select(10) LUN: 0x00 "
"380","12.178377","2.2.2","host","USB","27","URB_BULK out"
"381","12.178379","host","2.2.2","USBMS","51",""
"382","12.178426","2.2.2","host","USB","27","URB_BULK out"
"383","12.178427","host","2.2.1","USB","27","URB_BULK in"
"384","12.183284","2.2.1","host","USBMS","40",""
"385","12.183295","host","2.2.2","USBMS","58","SCSI Request Sense LUN: 0x00 "
"386","12.183330","2.2.2","host","USB","27","URB_BULK out"
"387","12.183331","host","2.2.1","USB","27","URB_BULK in"
"388","12.188210","2.2.1","host","USBMS","45",""
"389","12.188221","host","2.2.1","USB","27","URB_BULK in"
"390","12.188255","2.2.1","host","USBMS","40",""
"391","12.188445","host","2.2.2","USBMS","58","SCSI Read Capacity(10) LUN: 0x00 "
"392","12.188464","2.2.2","host","USB","27","URB_BULK out"
"393","12.188465","host","2.2.1","USB","27","URB_BULK in"
"394","12.188695","2.2.1","host","USBMS","35",""
"395","12.188697","host","2.2.1","USB","27","URB_BULK in"
"396","12.188748","2.2.1","host","USBMS","40",""
"397","12.188762","host","2.2.2","USBMS","58","SCSI Inquiry LUN: 0x00 "
"398","12.188800","2.2.2","host","USB","27","URB_BULK out"
"399","12.188801","host","2.2.1","USB","27","URB_BULK in"
"400","12.189345","2.2.1","host","USBMS","63","[SCSI transfer limited due to allocation_length too small]"
"401","12.189357","host","2.2.1","USB","27","URB_BULK in"
"402","12.189393","2.2.1","host","USBMS","40",""
